iter	Passed	Remaining
0	152	75956
1	162	40524
2	172	28652
3	182	22632
4	192	19092
5	203	16762
6	214	15087
7	224	13835
8	235	12849
9	247	12135
10	260	11577
11	272	11080
12	284	10658
13	295	10256
14	307	9952
15	320	9682
16	333	9462
17	345	9246
18	357	9051
19	370	8889
20	382	8731
21	395	8587
22	408	8475
23	422	8378
24	435	8282
25	450	8210
26	463	8118
27	476	8039
28	490	7966
29	504	7904
30	518	7845
31	532	7788
32	546	7735
33	559	7667
34	573	7622
35	579	7474
36	593	7426
37	606	7379
38	620	7337
39	634	7292
40	647	7248
41	661	7208
42	674	7169
43	688	7137
44	702	7099
45	717	7078
46	730	7044
47	745	7016
48	757	6973
49	772	6948
50	785	6913
51	800	6896
52	814	6871
53	828	6842
54	842	6813
55	855	6785
56	871	6770
57	885	6745
58	899	6723
59	914	6704
60	928	6683
61	943	6662
62	951	6601
63	965	6574
64	979	6552
65	992	6525
66	1006	6505
67	1020	6480
68	1033	6455
69	1047	6433
70	1052	6362
71	1066	6338
72	1079	6315
73	1092	6292
74	1107	6275
75	1121	6256
76	1135	6239
77	1151	6232
78	1167	6222
79	1182	6209
80	1196	6191
81	1212	6180
82	1228	6171
83	1243	6158
84	1258	6145
85	1274	6135
86	1289	6121
87	1304	6106
88	1318	6088
89	1332	6072
90	1346	6050
91	1360	6031
92	1373	6012
93	1387	5993
94	1401	5973
95	1414	5951
96	1427	5929
97	1439	5905
98	1453	5885
99	1466	5867
100	1479	5845
101	1493	5826
102	1505	5803
103	1519	5784
104	1531	5762
105	1546	5746
106	1559	5727
107	1571	5704
108	1585	5689
109	1600	5673
110	1613	5654
111	1626	5635
112	1639	5613
113	1651	5592
114	1664	5573
115	1677	5554
116	1691	5536
117	1704	5517
118	1717	5497
119	1729	5476
120	1743	5460
121	1756	5443
122	1769	5423
123	1782	5403
124	1795	5386
125	1808	5367
126	1820	5348
127	1832	5326
128	1844	5304
129	1857	5285
130	1868	5264
131	1881	5245
132	1893	5225
133	1906	5208
134	1920	5192
135	1935	5179
136	1949	5164
137	1963	5151
138	1978	5137
139	1992	5124
140	2007	5111
141	2021	5096
142	2035	5082
143	2050	5068
144	2063	5052
145	2078	5039
146	2093	5027
147	2109	5016
148	2122	5000
149	2136	4984
150	2150	4970
151	2165	4957
152	2179	4943
153	2193	4928
154	2207	4913
155	2220	4895
156	2232	4877
157	2245	4859
158	2255	4838
159	2268	4819
160	2279	4799
161	2291	4780
162	2303	4763
163	2315	4744
164	2327	4725
165	2339	4707
166	2351	4689
167	2362	4669
168	2373	4649
169	2384	4629
170	2396	4610
171	2407	4591
172	2419	4573
173	2431	4554
174	2442	4535
175	2453	4517
176	2465	4499
177	2476	4480
178	2488	4463
179	2500	4444
180	2511	4426
181	2523	4409
182	2536	4393
183	2548	4376
184	2560	4359
185	2571	4341
186	2583	4324
187	2595	4308
188	2608	4291
189	2620	4275
190	2631	4257
191	2643	4241
192	2656	4225
193	2667	4208
194	2679	4191
195	2691	4174
196	2704	4159
197	2715	4141
198	2730	4129
199	2742	4114
200	2756	4100
201	2768	4084
202	2782	4070
203	2796	4057
204	2811	4045
205	2826	4033
206	2840	4020
207	2854	4007
208	2868	3993
209	2881	3979
210	2895	3966
211	2909	3952
212	2922	3937
213	2936	3924
214	2948	3908
215	2961	3894
216	2973	3878
217	2986	3863
218	2998	3847
219	3011	3833
220	3025	3819
221	3037	3803
222	3050	3788
223	3062	3773
224	3074	3757
225	3086	3742
226	3099	3728
227	3111	3712
228	3125	3698
229	3139	3685
230	3153	3671
231	3166	3658
232	3179	3643
233	3192	3628
234	3205	3614
235	3219	3601
236	3232	3587
237	3246	3574
238	3259	3559
239	3272	3545
240	3285	3530
241	3297	3515
242	3309	3499
243	3321	3485
244	3334	3470
245	3346	3454
246	3359	3440
247	3372	3426
248	3386	3413
249	3398	3398
250	3410	3383
251	3423	3368
252	3434	3353
253	3447	3339
254	3460	3324
255	3472	3309
256	3484	3294
257	3496	3279
258	3507	3264
259	3519	3248
260	3532	3234
261	3544	3219
262	3556	3204
263	3567	3189
264	3580	3175
265	3592	3160
266	3604	3145
267	3615	3130
268	3627	3114
269	3638	3099
270	3650	3084
271	3661	3069
272	3673	3054
273	3684	3039
274	3696	3024
275	3707	3009
276	3720	2995
277	3732	2980
278	3744	2966
279	3756	2951
280	3767	2936
281	3779	2921
282	3791	2907
283	3804	2893
284	3816	2879
285	3828	2864
286	3840	2850
287	3851	2835
288	3864	2821
289	3876	2807
290	3887	2792
291	3899	2777
292	3911	2763
293	3922	2748
294	3933	2733
295	3945	2719
296	3957	2705
297	3969	2690
298	3980	2675
299	3991	2661
300	4003	2646
301	4014	2632
302	4025	2617
303	4036	2602
304	4049	2588
305	4060	2574
306	4071	2559
307	4082	2544
308	4093	2530
309	4104	2515
310	4115	2501
311	4126	2486
312	4137	2471
313	4148	2457
314	4159	2443
315	4171	2428
316	4182	2414
317	4193	2400
318	4204	2385
319	4216	2371
320	4227	2357
321	4238	2343
322	4249	2328
323	4262	2315
324	4275	2302
325	4287	2288
326	4300	2275
327	4313	2262
328	4326	2248
329	4339	2235
330	4351	2221
331	4364	2208
332	4377	2195
333	4389	2181
334	4402	2168
335	4415	2155
336	4427	2141
337	4439	2127
338	4450	2113
339	4462	2099
340	4474	2086
341	4485	2072
342	4496	2058
343	4508	2044
344	4520	2031
345	4532	2017
346	4544	2003
347	4556	1990
348	4569	1977
349	4581	1963
350	4592	1949
351	4603	1935
352	4614	1921
353	4625	1907
354	4636	1893
355	4648	1880
356	4659	1866
357	4671	1852
358	4683	1839
359	4696	1826
360	4708	1813
361	4721	1799
362	4733	1786
363	4745	1773
364	4756	1759
365	4769	1746
366	4781	1732
367	4793	1719
368	4806	1706
369	4818	1692
370	4830	1679
371	4842	1666
372	4853	1652
373	4866	1639
374	4877	1625
375	4888	1612
376	4900	1598
377	4912	1585
378	4924	1572
379	4936	1558
380	4947	1545
381	4960	1532
382	4971	1518
383	4982	1505
384	4994	1491
385	5006	1478
386	5018	1465
387	5029	1451
388	5041	1438
389	5054	1425
390	5066	1412
391	5077	1398
392	5087	1385
393	5100	1372
394	5113	1359
395	5125	1346
396	5138	1333
397	5150	1319
398	5162	1306
399	5174	1293
400	5185	1280
401	5196	1266
402	5209	1253
403	5221	1240
404	5233	1227
405	5246	1214
406	5257	1201
407	5270	1188
408	5281	1175
409	5293	1161
410	5304	1148
411	5316	1135
412	5327	1122
413	5340	1109
414	5351	1096
415	5363	1083
416	5375	1069
417	5387	1056
418	5399	1043
419	5411	1030
420	5424	1017
421	5437	1005
422	5450	992
423	5462	979
424	5475	966
425	5487	953
426	5498	940
427	5512	927
428	5525	914
429	5538	901
430	5551	888
431	5563	875
432	5578	863
433	5589	850
434	5602	837
435	5614	824
436	5625	811
437	5639	798
438	5654	785
439	5669	773
440	5683	760
441	5699	747
442	5714	735
443	5727	722
444	5740	709
445	5755	696
446	5768	683
447	5780	670
448	5793	658
449	5807	645
450	5820	632
451	5833	619
452	5847	606
453	5861	593
454	5875	581
455	5888	568
456	5900	555
457	5914	542
458	5928	529
459	5940	516
460	5953	503
461	5965	490
462	5978	477
463	5989	464
464	6003	451
465	6015	438
466	6028	425
467	6040	413
468	6053	400
469	6066	387
470	6079	374
471	6092	361
472	6104	348
473	6116	335
474	6129	322
475	6142	309
476	6155	296
477	6166	283
478	6178	270
479	6189	257
480	6201	244
481	6212	232
482	6223	219
483	6235	206
484	6249	193
485	6260	180
486	6273	167
487	6285	154
488	6297	141
489	6310	128
490	6323	115
491	6335	103
492	6347	90
493	6360	77
494	6372	64
495	6384	51
496	6396	38
497	6409	25
498	6421	12
499	6432	0
